ID_REF,mean_PE,mean_nonPE,log2FC,abs_log2FC
ILMN_1343289,9.397052194782612,10.154502581081072,-0.7574503862984603,0.7574503862984603
ILMN_1343290,10.492144137391303,11.262214735135135,-0.7700705977438318,0.7700705977438318
ILMN_1343291,11.153392587391306,11.999757956216218,-0.8463653688249124,0.8463653688249124
ILMN_1343292,8.17969025773913,8.856564127972966,-0.6768738702338357,0.6768738702338357
ILMN_1343293,9.069550502608696,9.60692636567568,-0.537375863066984,0.537375863066984
ILMN_1343294,10.991370836521737,11.711508433243246,-0.7201375967215089,0.7201375967215089
ILMN_1343295,9.005308983913043,9.396314898108104,-0.3910059141950608,0.3910059141950608
ILMN_1651199,5.560778321217392,5.552022538027027,0.008755783190364852,0.008755783190364852
ILMN_1651209,5.834781330565218,5.75559478108108,0.07918654948413817,0.07918654948413817
ILMN_1651210,5.61105002978261,5.562466989135134,0.04858304064747543,0.04858304064747543
ILMN_1651217,5.817687367260868,5.8697470347027005,-0.052059667441832325,0.052059667441832325
ILMN_1651221,5.722940869173914,5.718224683432433,0.004716185741481027,0.004716185741481027
ILMN_1651228,11.671870857826088,11.996079088378377,-0.32420823055228887,0.32420823055228887
ILMN_1651229,7.415409622130435,7.474093117189192,-0.05868349505875692,0.05868349505875692
ILMN_1651232,5.700416393434782,5.738215619945945,-0.03779922651116241,0.03779922651116241
ILMN_1651234,5.504150448913044,5.473369422945945,0.030781025967098863,0.030781025967098863
ILMN_1651235,5.636727347521741,5.646924105081082,-0.01019675755934113,0.01019675755934113
ILMN_1651236,5.708969948217392,5.745800825297298,-0.03683087707990573,0.03683087707990573
ILMN_1651237,6.600042280086956,6.616608393540541,-0.016566113453585274,0.016566113453585274
ILMN_1651238,5.617558675347826,5.5360470539459445,0.08151162140188184,0.08151162140188184
ILMN_1651249,5.374213347347827,5.395840000891892,-0.021626653544064567,0.021626653544064567
ILMN_1651253,5.62717204,5.600858255702702,0.02631378429729736,0.02631378429729736
ILMN_1651254,9.781057991782609,9.834204844729733,-0.0531468529471244,0.0531468529471244
ILMN_1651259,6.189348101652173,6.247316656405405,-0.05796855475323248,0.05796855475323248
ILMN_1651260,5.607964470956521,5.551685096297297,0.05627937465922361,0.05627937465922361
ILMN_1651261,7.030546626565217,7.42598383481081,-0.3954372082455935,0.3954372082455935
ILMN_1651262,10.681414112608696,10.713063450270267,-0.03164933766157141,0.03164933766157141
ILMN_1651268,6.325947833217393,6.3163133008648655,0.009634532352527536,0.009634532352527536
ILMN_1651278,7.94707525578261,7.904000533729729,0.04307472205288132,0.04307472205288132
ILMN_1651279,5.6832178840434775,5.6608808277027025,0.022337056340774986,0.022337056340774986
ILMN_1651281,5.588372364130435,5.56176590664865,0.02660645748178503,0.02660645748178503
ILMN_1651282,10.299777110869565,9.887565317135138,0.41221179373442673,0.41221179373442673
ILMN_1651286,6.858530646,6.981649351378379,-0.12311870537837866,0.12311870537837866
ILMN_1651288,5.793942383826088,5.804050331810811,-0.010107947984723253,0.010107947984723253
ILMN_1651292,5.416904175739131,5.393131258864864,0.023772916874267302,0.023772916874267302
